# Date(dd.mm.yyyy) 04.04.2018 : Prices at Elspot
#
# Data type(ST);Time made(Hour:Min);Date made(dd.mm.yyyy)
# Data type(PR);Code(SO,SF);Year;Week;Day of week(1..7);Date(dd.mm.yyyy);Area;Currency;Hour1;Hour2;Hour3A;Hour3B;Hour4;Hour5;Hour6;Hour7;Hour8;Hour9;Hour10;Hour11;Hour12;Hour13;Hour14;Hour15;Hour16;Hour17;Hour18;Hour19;Hour20;Hour21;Hour22;Hour23;Hour24;Average
# Data type(AL);Total number of lines in the file.
#
ST;16:00;03.04.2018
PR;SO;2018;14;3;04.04.2018;DK1;EUR;28,63;26,91;22,04;;15,25;20,09;28,46;42,75;48,50;55,51;48,76;45,00;44,90;38,30;40,82;40,79;40,80;40,84;41,49;42,40;42,79;43,74;42,54;39,62;32,09;38,04
PR;SO;2018;14;3;04.04.2018;DK2;EUR;28,63;26,91;22,04;;15,25;20,09;28,46;42,75;48,50;55,51;48,76;45,00;44,90;38,30;40,82;40,79;40,80;40,84;41,49;42,40;42,79;43,74;42,54;39,62;32,09;38,04
PR;SO;2018;14;3;04.04.2018;EE;EUR;39,31;38,51;38,75;;38,94;38,84;40,08;42,75;48,73;55,51;53,06;51,99;47,04;46,08;44,46;41,32;41,03;41,15;41,49;42,40;42,79;43,74;42,54;40,07;37,95;43,27
PR;SO;2018;14;3;04.04.2018;FI;EUR;39,31;38,51;38,75;;38,94;38,84;40,08;42,75;48,73;55,51;53,06;51,99;47,04;46,08;44,46;41,32;41,03;41,15;41,49;42,40;42,79;43,74;42,54;40,07;37,95;43,27
PR;SO;2018;14;3;04.04.2018;LT;EUR;39,31;38,51;38,75;;38,94;38,84;40,08;42,75;48,73;55,51;53,06;51,99;47,04;46,08;46,01;41,32;41,03;46,00;46,00;42,40;46,00;43,74;42,54;40,07;37,95;43,86
PR;SO;2018;14;3;04.04.2018;LV;EUR;39,31;38,51;38,75;;38,94;38,84;40,08;42,75;48,73;55,51;53,06;51,99;47,04;46,08;46,01;41,32;41,03;46,00;46,00;42,40;46,00;43,74;42,54;40,07;37,95;43,86
PR;SO;2018;14;3;04.04.2018;NO1;EUR;39,31;38,70;38,75;;38,94;38,97;40,08;42,75;46,67;55,51;48,76;45,00;43,55;43,21;42,58;41,32;41,03;41,15;41,49;42,40;42,79;43,74;42,54;40,17;39,35;42,45
PR;SO;2018;14;3;04.04.2018;NO2;EUR;39,31;38,70;38,75;;38,94;38,97;40,08;41,30;46,67;55,51;48,76;45,00;42,38;40,82;40,82;40,79;40,80;40,84;41,49;42,40;42,79;43,74;41,69;40,17;39,35;42,09
PR;SO;2018;14;3;04.04.2018;NO3;EUR;39,31;38,70;38,75;;38,94;38,97;40,08;42,75;48,50;55,51;48,76;45,00;44,90;44,17;45,48;45,45;44,13;43,35;41,49;42,40;42,79;43,74;42,54;40,36;39,41;43,15
PR;SO;2018;14;3;04.04.2018;NO4;EUR;39,31;38,51;38,75;;38,94;38,84;40,08;42,75;48,50;55,51;48,76;45,00;44,90;43,21;42,58;41,32;41,03;41,15;41,49;42,40;42,79;43,74;42,54;40,07;37,95;42,51
